vendor,total_paid,share_of_total,concentration_flag
Nog-Da-Win-Da-Min Family And Community Services,31784994,0.00015354,none
Canopy Support Services,31685198,0.000153058,none
Sharon Farms And Enterprises Limited,31570685,0.000152504,none
Toronto Police Services,31328246,0.000151333,none
Albright Gardens Homes Incorporated,31316239,0.000151275,none
Native Child And Family Services Of Toronto,31262518,0.000151016,none
Alexandra Marine And General Hospital,30913796,0.000149331,none
North Shore Health Network Reseau Sante Rive Nord,30899481,0.000149262,none
Tri-County Mennonite Homes,30832746,0.00014894,none
Flemingdon Health Centre,30822080,0.000148888,none
Corporation Of The City Of Sault Ste Marie,30570161,0.000147671,none
Education Quality And Accountability Office (Eqao),30455001,0.000147115,none
Reach Out Centre For Kids,30371832,0.000146713,none
Campbellford Memorial Hospital,30270480,0.000146224,none
The Corporation Of Haldimand County,30204812,0.000145906,none
Superior North Catholic District School Board,30127355,0.000145532,none
Children'S Aid Society Of The District Of Sudbury-Manitoulin,30003148,0.000144932,none
Louis W Bray Construction Ltd,30002697,0.00014493,none
Kawartha-Haliburton Children'S Aid Society,29974120,0.000144792,none
Deloitte Llp,29897186,0.00014442,none
Middlesex-London Health Unit,29795670,0.00014393,none
Humber Meadows Long-Term Care Home,29649768,0.000143225,none
Community Living London,29629112,0.000143125,none
Corporation Of The City Of Guelph (O/A City Of Guelph),29590031,0.000142937,none
Ontario College Of Art & Design University (Ocad),29573193,0.000142855,none
Workplace Safety & Prevention Services,29568780,0.000142834,none
Carlingview Manor Operating Inc (O/A Carlingview Manor),29148366,0.000140803,none
Dtoc Ii Long Term Care Lp (O/A Ownership Of Real Estate),29091818,0.00014053,none
Metis Nation Of Ontario Secretariat,29001693,0.000140095,none
"Dexcom Canada, Co.",28896882,0.000139588,none
Trillium,28153701,0.000135998,none
East Nipissing District Home For The Aged (O/A Cassellholme),27871109,0.000134633,none
955464 Ontario Limited,27681214,0.000133716,none
Hellenic Home For The Aged Inc,27527160,0.000132972,none
Community Living Trent Highlands,27447187,0.000132586,none
Community Living Kingston And District,27329379,0.000132016,none
Canadian Mental Health Assoc (Cmha) York Region,27273874,0.000131748,none
"Canada Corporation # 891534-2, Costco Wholesale Canada Ltd.",27176549,0.000131278,none
Community Living Algoma,27135570,0.00013108,none
Lambton College Of Applied Arts And Technology,26990045,0.000130377,none
407 East Development Group General Partnership,26868880,0.000129792,none
Community Living Thunder Bay,26850696,0.000129704,none
Eastern Ontario Regional Network Inc,26811844,0.000129516,none
Ioof Seniors Homes Inc,26666110,0.000128812,none
Art Gallery Of Ontario,26635055,0.000128662,none
Fairhaven Home For Senior Citizens,26606437,0.000128524,none
Leisureworld (2063412 Ontario Limited),26599430,0.00012849,none
Intellectual Property Ontario,26549979,0.000128252,none
Canadore College Of Applied Arts & Technology,26546146,0.000128233,none
Ontario Native Women'S Association,26516409,0.000128089,none
County Of Frontenac,26394968,0.000127503,none
Religious Hospitallers Of St Joseph Of Cornwall,26228001,0.000126696,none
St Joseph'S Health Centre Of Sudbury,26070045,0.000125933,none
Ford Motor Company Of Canada Ltd,26027771,0.000125729,none
Listowel Memorial Hospital,25963477,0.000125418,none
Family And Children'S Services Of Frontenac Lennox And Addington,25706358,0.000124176,none
The Glebe Centre Incorporated,25597811,0.000123652,none
The Rekai Centres,25597099,0.000123649,none
Community Living Guelph Wellington,25477106,0.000123069,none
3M Canada Company,25458096,0.000122977,none
Anishinaabe Abinoojii Family Services,25342208,0.000122417,none
Family And Children'S Services Of Renfrew County,25274230,0.000122089,none
Kemptville District Hospital,25173114,0.0001216,none
Stantec Consulting Ltd,25152162,0.000121499,none
Parkdale Queen West Community Health Centre,25123423,0.00012136,none
North Wellington Health Care Corp,25066677,0.000121086,none
Windsor-Essex County Health Unit,25043882,0.000120976,none
Meta Centre,25000164,0.000120765,none
Kidsability Centre For Child Development,24938982,0.000120469,none
Canadian Mental Health Association - Peel Branch,24891924,0.000120242,none
Board Of Health For The Sudbury & District Health Unit,24844186,0.000120012,none
Canadian Mental Health Association-Simcoe County Branch,24841902,0.000120001,none
Community Living Fort Erie,24735894,0.000119488,none
Shepherd Village Inc,24735016,0.000119484,none
City Of Peterborough,24681080,0.000119224,none
Infrastructure Health And Safety Association,24680500,0.000119221,none
West Park Healthcare Centre,24593798,0.000118802,none
Children'S Treatment Centre Of Chatham Kent,24535874,0.000118522,none
Marianhill Inc,24482614,0.000118265,none
K-W Habilitation Services,24367904,0.000117711,none
District Of Timiskaming Social Services Admin Board,24301130,0.000117388,none
Children'S Aid Society Of The District Of Nipissing And Parry Sound,24300431,0.000117385,none
Arch Long Term Care Lp,24273879,0.000117257,none
Alpha Laboratories Inc,24188871,0.000116846,none
Salesforce.Com Canada Corporation,24145138,0.000116635,none
Cvh (No.1) Lp,24135135,0.000116586,none
North Of Superior Healthcare Group,24126446,0.000116544,none
Addiction And Mental Health Services - Kfla,24027388,0.000116066,none
Kap Paper Inc,24000000,0.000115934,none
St Peter'S Residence At Chedoke,23969144,0.000115785,none
Honda Canada Inc,23921150,0.000115553,none
Manitoulin Health Centre,23888476,0.000115395,none
Bmc Software Canada Inc,23823093,0.000115079,none
Veridos Canada Ltd,23794044,0.000114939,none
Catholic Children'S Aid Society Of Hamilton,23691329,0.000114443,none
North Eastern Ontario Family And Children'S Services Services A La Famille Et A L'Enfance Du Nord-Est De L'Ontario,23678856,0.000114382,none
Facca Inc,23655337,0.000114269,none
"Accounts Under $120,000/Comptes Inférieurs À 120, 000$",23570958,0.000113861,none
Cvh (No 8) Gp Inc,23551316,0.000113766,none
Haldimand War Memorial Hospital,23541912,0.000113721,none
Compugen Inc.,23513711,0.000113585,none
Mohawk Council Of Akwesasne,23454460,0.000113298,none
Hopital Notre-Dame Hospital (Hearst),23384595,0.000112961,none
Nipissing-Miller Limited Partnership,23332080,0.000112707,none
Tendercare Living Centre,23314414,0.000112622,none
County Of Brant,23292096,0.000112514,none
Youth Services Bureau Of Ottawa/Bureau Des Services A La Jeunesse D'Ottawa,23269928,0.000112407,none
Children'S Aid Society Of Algoma,23253196,0.000112326,none
City Of Kingston,23116780,0.000111667,none
Community Living Oshawa/Clarington,23089382,0.000111535,none
Deep River And District Health,23010432,0.000111153,none
Deafblind Ontario Services,22958358,0.000110902,none
Vale Canada Ltd.,22925312,0.000110742,none
Copernicus Lodge Inc,22885149,0.000110548,none
"Linck Child, Youth And Family Supports",22882473,0.000110535,none
Bruce Grey Child And Family Services,22827679,0.000110271,none
Owen Sound Transportation Co Ltd,22824123,0.000110254,none
Rainy River District Social Services Admin Board,22712334,0.000109713,none
Children'S Aid Society Of The City Of Guelph & The County Of Wellington,22633151,0.000109331,none
Telus Health Solutions Inc,22625636,0.000109295,none
Lady Minto Hospital At Cochrane,22507536,0.000108724,none
Good Shepherd Non-Profit Homes Inc,22398887,0.000108199,none
Vdi Healthcare Logistics,22397814,0.000108194,none
District Of Parry Sound Social Services Administration Board,22352214,0.000107974,none
Kina Gbezhgomi Child And Family Services,22241544,0.000107439,none
Fairview Lodge,22202416,0.00010725,none
Flextrack Inc.,22190444,0.000107192,none
Southlake Residential Care Village,22047001,0.0001065,none
Contact Hamilton For Children'S And Developmental Services,21987507,0.000106212,none
Idlewyld Manor,21975560,0.000106154,none
Algonquin Child And Family Services (O/A Hands Thefamilyhelpnetwork.Ca),21955935,0.00010606,none
Everymind Mental Health Services,21902287,0.000105801,none
Espanola General Hospital,21896070,0.00010577,none
Canadian Hearing Services Services Canadiens De L'Ouie,21849006,0.000105543,none
Children'S Aid Society Of The Regional Municipality Of Halton,21848156,0.000105539,none
Nucleus Independent Living,21733865,0.000104987,none
Ontario Brain Institute,21667606,0.000104667,none
Mckesson Canada,21653376,0.000104598,none
Community Living Cambridge,21580937,0.000104248,none
Canes Community Care,21526430,0.000103985,none
Taranis Contracting Group Ltd,21454067,0.000103635,none
St Joseph'S Lifecare Centre,21408393,0.000103415,none
Dtoc Lon G Term Care Lp (O/A Ownership Of Real Estate),21401727,0.000103383,none
Cheshire Homes Of London Inc,21360542,0.000103184,none
Shwe Miikaan-Miller 2020 Limited Partnership,21330197,0.000103037,none
County Of Prince Edward,21203901,0.000102427,none
Community Living Burlington,21197627,0.000102397,none
Alexandra Hospital,21123619,0.000102039,none
Communiticare Health,20985591,0.000101372,none
The Heritage Nursing Home,20885930,0.000100891,none
Hanover & District Hospital,20809474,0.000100522,none
South Riverdale Community Health Centre,20804079,0.000100496,none
Community Living North Halton,20803712,0.000100494,none
Alzheimer Society Peel,20741738,0.000100194,none
Montage Support Services,20728842,0.000100132,none
Broadview Foundation,20677532,9.99E-05,none
Glengarry Memorial Hospital,20654758,9.98E-05,none
Centennial Centre Of Science And Technology (O/A Ontario Science Centre),20504520,9.90E-05,none
Thomson Reuters Canada Ltd.,20472248,9.89E-05,none
Recovery Science Corporation,20459163,9.88E-05,none
Options Northwest Personal Support Services,20380793,9.85E-05,none
Community Network Partners Inc,20372377,9.84E-05,none
Grand Council Treaty 3 Representative Services,20344509,9.83E-05,none
Haliburton Kawartha Pine Ridge District Health Unit,20323191,9.82E-05,none
Linamar Corporation,20315000,9.81E-05,none
St Joseph'S At Fleming,20275442,9.79E-05,none
Payukotayno James & Hudson Bay Family Services,20244952,9.78E-05,none
Southwestern Integrated Fibre Technology Inc,20232681,9.77E-05,none
Community Home Assistance To Seniors,20177335,9.75E-05,none
Proresp Inc.,20153524,9.74E-05,none
North West Ontario Local Health Integration Network,20092753,9.71E-05,none
Bellwoods Centres For Community Living Inc,20027070,9.67E-05,none
Youthdale Treatment Centres,20024958,9.67E-05,none
Scarborough Centre For Healthy Communities,19994065,9.66E-05,none
Dsv Road Inc,19993054,9.66E-05,none
Mama-Wes-Wen The North Shore Tribal Council Secretariat,19973332,9.65E-05,none
Children'S Aid Society Of The United Counties Of Stormont Dundas & Glengarry,19917235,9.62E-05,none
Marten Falls First Nation,19880286,9.60E-05,none
Thomas Cavanagh Construction Ltd,19850608,9.59E-05,none
Wellington-Dufferin-Guelph Health Unit,19838656,9.58E-05,none
Henley Place Limited,19768024,9.55E-05,none
Family And Children'S Services Of Lanark Leeds And Grenville,19753799,9.54E-05,none
Community Living Durham North,19703660,9.52E-05,none
Delcare Cawthra Gardens,19680540,9.51E-05,none
Kingston Frontenac And Lennox And Addington Health Unit,19619126,9.48E-05,none
Royal Ottawa Health Care Group,19570797,9.45E-05,none
Kunuwanimano Child And Family Services,19535419,9.44E-05,none
Assisted Living Southwestern Ontario,19528470,9.43E-05,none
Town Of Collingwood,19453477,9.40E-05,none
Ghd Limited,19382438,9.36E-05,none
Community Living North Bay,19305945,9.33E-05,none
Maplewood Nursing Home Ltd,19299357,9.32E-05,none
The Women'S Christian Association Of London (O/A Mccormick Care Group),19292545,9.32E-05,none
North Bay Parry Sound District Health Unit,19282097,9.31E-05,none
Crown Ridge Health Care Services Inc,19263441,9.31E-05,none
Blackbird Infrastructure 407 General Partnership,19229639,9.29E-05,none
Weechi-It-Te-Win Family Services Inc,19228620,9.29E-05,none
Kenora Association For Community Living,19192888,9.27E-05,none
Prince Edward Addictions And Mental Health Services,19173094,9.26E-05,none
Oneida Nation Of The Thames,19157938,9.25E-05,none
The Corporation Of The City Of North Bay,19082722,9.22E-05,none
Queen'S University At Kingston,19053320,9.20E-05,none
Anson General Hospital,19040895,9.20E-05,none
Atk Care Group Ltd,19022830,9.19E-05,none
Ices (Institute For Clinical Evaluative Sciences),19000000,9.18E-05,none
Town Of Kirkland Lake,18978380,9.17E-05,none
Wabun Tribal Council,18942486,9.15E-05,none
Canadian Mental Health Association Ottawa-Carleton Branch,18848081,9.10E-05,none
Glencore Canada Corp.,18810825,9.09E-05,none
Heritage Green Nursing Home,18801140,9.08E-05,none
Rygiel Supports For Community Living,18747393,9.06E-05,none
Wingham & District Hospital,18708136,9.04E-05,none
Hastings & Prince Edward Counties Health Unit (O/A Hasting Prince Edward Public Health),18680866,9.02E-05,none
